Five letter identifier	Survey type	Date	Day of year 	Start time	Duration (min)	Plant Family	Plant genus	Plant species	Plant species comments	Total floral  cover (m2)	 Number of floral units	Flower visitor order	Flower visitor family	Flower visitor genus	Flower visitor species	Sex/caste	Flower visitor species comments	Number of individuals	Number of flowers visited	Photo or specimen taken?	
ALKEL	A	17/04/	108	1330	20	Asteraceae	Bellis	Bellis perennis		<0.1	7				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Lamiaceae	Lamium	Lamium purpureum		0.1	3				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Rosaceae	Potentilla	Potentilla sp.		<0.1	2				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Apidae	Apis	Apis mellifera			4	NA		
ALKEL	A	17/04/	108	1330	20	Rosaceae	Prunus	Prunus persica		4	100+				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Grossulariaceae	Ribes	Ribes rubrum		0.3	33				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Grossulariaceae	Ribes	Ribes rubrum		0.2	20				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	33	Hymenoptera	Megachilidae	Osmia	Osmia bicornis			2	NA		
ALKEL	A	17/04/	108	1330	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	33	Hymenoptera	Apidae	Apis	Apis mellifera			1	NA		
ALKEL	A	17/04/	108	1330	20	Asteraceae	Taraxacum	Taraxacum officinale		0.2	7				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Apocynaceae	Vinca	Vinca minor		<0.1	9				0			NA	NA		
ALKEL	A	17/04/	108	1330	20	Violaceae	Viola	Viola tricolor		<0.1	2				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Bellis	Bellis perennis		<0.1	9				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Lamiaceae	Lamium	Lamium purpureum		0.1	5				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Potentilla	Potentilla sp.		<0.1	4				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Apidae	Apis	Apis mellifera			15	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Diptera	Syrphidae	Episyrphus	Episyrphus sp.			1	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Megachilidae	Osmia	Osmia bicornis			1	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Megachilidae	Megachile	Megachile sp.			1	NA		
ALKEL	A	16/04/	107	1030	20	Rosaceae	Prunus	Prunus persica		4	100+				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Grossulariaceae	Ribes	Ribes rubrum		0.2	20				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Grossulariaceae	Ribes	Ribes rubrum		0.2	15	Hymenoptera	Apidae	Apis	Apis mellifera			2	NA		
ALKEL	A	16/04/	107	1030	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	34	Hymenoptera	Megachilidae	Osmia	Osmia bicornis			1	NA		
ALKEL	A	16/04/	107	1030	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	34	Hymenoptera	Apidae	Apis	Apis mellifera			1	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Taraxacum	Taraxacum officinale		0.1	3	Diptera	Anthomyiidae		Anthomyiidae sp.			3	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Taraxacum	Taraxacum officinale		0.1	3	Hymenoptera	Formicidae		Formicidae sp.			2	NA		
ALKEL	A	16/04/	107	1030	20	Asteraceae	Taraxacum	Taraxacum officinale		0.1	3	Coleoptera	Cetoniidae	Oxythyrea	Oxythyrea funesta			1	NA		
ALKEL	A	16/04/	107	1030	20	Apocynaceae	Vinca	Vinca minor		<0.1	10				0			NA	NA		
ALKEL	A	16/04/	107	1030	20	Violaceae	Viola	Viola tricolor		<0.1	2				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Asteraceae	Bellis	Bellis perennis		<0.1	8				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Lamiaceae	Lamium	Lamium purpureum		0.1	7				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Berberidaceae	Mahonia	Mahonia aquifolium	synonym Berberis aquifolium	<0.1	5				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Rosaceae	Potentilla	Potentilla sp.		<0.1	4				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Rosaceae	Prunus	Prunus cerasus		2	100+	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris	1	NA		
ALKEL	A	09/04/	100	1100	20	Rosaceae	Prunus	Prunus persica		4	100+				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Grossulariaceae	Ribes	Ribes rubrum		0.3	25				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	28	Hymenoptera	Apidae	Apis	Apis mellifera			1	NA		
ALKEL	A	09/04/	100	1100	20	Asteraceae	Senecio	Senecio vulgaris		<0.1	3				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Plantaginaceae	Veronica	Veronica persica		<0.1	4				0			NA	NA		
ALKEL	A	09/04/	100	1100	20	Apocynaceae	Vinca	Vinca minor		<0.1	9				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Asteraceae	Bellis	Bellis perennis		<0.1	7				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Lamiaceae	Lamium	Lamium purpureum		0.1	7				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Berberidaceae	Mahonia	Mahonia aquifolium	synonym Berberis aquifolium	<0.1	10				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Rosaceae	Potentilla	Potentilla sp.		<0.1	2				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Rosaceae	Prunus	Prunus cerasus		2	100+				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Rosaceae	Prunus	Prunus persica		4	100+	Diptera	Anthomyiidae		Anthomyiidae sp.			1	NA		
ALKEL	A	06/04/	97	930	20	Grossulariaceae	Ribes	Ribes rubrum		0.3	20				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Lamiaceae	Rosmarinus	Rosmarinus officinalis		10	24	Hymenoptera	Apidae	Apis	Apis mellifera			1	NA		
ALKEL	A	06/04/	97	930	20	Asteraceae	Senecio	Senecio vulgaris		<0.1	3				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Plantaginaceae	Veronica	Veronica persica		<0.1	4				0			NA	NA		
ALKEL	A	06/04/	97	930	20	Apocynaceae	Vinca	Vinca minor		0.1	12				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Asteraceae	Bellis	Bellis perennis		<0.1	3				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Lamiaceae	Lamium	Lamium purpureum		<0.1	4				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Berberidaceae	Mahonia	Mahonia aquifolium	synonym Berberis aquifolium	0.1	30				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Rosaceae	Prunus	Prunus persica		4	100+				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Grossulariaceae	Ribes	Ribes rubrum		0.5	40				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Asteraceae	Senecio	Senecio vulgaris		0.1	6				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Caryophyllaceae	Stellaria	Stellaria media		<0.1	7				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Plantaginaceae	Veronica	Veronica persica		<0.1	2				0			NA	NA		
ALKEL	A	30/03/	90	930	20	Apocynaceae	Vinca	Vinca minor		<0.1	2				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Asteraceae	Bellis	Bellis perennis		<0.1	1				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Lamiaceae	Lamium	Lamium purpureum		<0.1	3				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Berberidaceae	Mahonia	Mahonia aquifolium	synonym Berberis aquifolium	0.1	33				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Rosaceae	Prunus	Prunus persica		4	100+				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Grossulariaceae	Ribes	Ribes rubrum		0.5	40				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Asteraceae	Senecio	Senecio vulgaris		0.1	6				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Caryophyllaceae	Stellaria	Stellaria media		<0.1	6				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Plantaginaceae	Veronica	Veronica persica		<0.1	2				0			NA	NA		
ALKEL	A	29/03/	89	1125	20	Apocynaceae	Vinca	Vinca minor		<0.1	2				0			NA	NA		
ALKEL	A	28/03/	88	1015	20	Asteraceae	Bellis	Bellis perennis		<0.1	1	Diptera	Syrphidae	Episyrphus	Episyrphus sp.			1	NA		
ALKEL	A	28/03/	88	1015	20	Lamiaceae	Lamium	Lamium purpureum		<0.1	3				0			NA	NA		
ALKEL	A	28/03/	88	1015	20	Berberidaceae	Mahonia	Mahonia aquifolium	synonym Berberis aquifolium	0.1	35	Hymenoptera	Vespidae	Vespula	Vespula sp. 			1	NA		
ALKEL	A	28/03/	88	1015	20	Rosaceae	Prunus	Prunus persica		4	100+	Hymenoptera	Apidae	Apis	Apis mellifera			2	NA		
ALKEL	A	28/03/	88	1015	20	Rosaceae	Prunus	Prunus persica		4	100+	Hymenoptera	Andrenidae	Andrena	Andrena bicolor			1	NA		
ALKEL	A	28/03/	88	1015	20	Grossulariaceae	Ribes	Ribes rubrum		0.5	45				0			NA	NA		
ALKEL	A	28/03/	88	1015	20	Asteraceae	Senecio	Senecio vulgaris		0.1	6				0			NA	NA		
ALKEL	A	28/03/	88	1015	20	Caryophyllaceae	Stellaria	Stellaria media		<0.1	4				0			NA	NA		
ALKEL	A	28/03/	88	1015	20	Plantaginaceae	Veronica	Veronica persica		<0.1	2				0			NA	NA		
ALKEL	A	28/03/	88	1015	20	Apocynaceae	Vinca	Vinca minor		<0.1	2				0			NA	NA		
ALXKL	A	12/04/	103	1520	15	Amaryllidaceae	Allium	Allium ursinum		NA	NA				0			NA	0		
ALXKL	A	12/04/	103	1520	15	Asteraceae	Bellis	Bellis perennis		NA	NA				0			NA	0		
ALXKL	A	12/04/	103	1520	15	Boraginaceae	Brunnera	Brunnera macrophylla		NA	NA	Hymenoptera	Megachilidae	Osmia	Osmia bicornis	F		NA	2		
ALXKL	A	12/04/	103	1520	15	Brassicaceae	Cardamine	Cardamine pratensis		NA	NA				0			NA	0		
ALXKL	A	12/04/	103	1520	15	Euphorbiaceae	Euphorbia	Euphorbia peplus		NA	NA	Hymenoptera	Andrenidae	Andrena	Andrena vulva	F		NA	1		
ALXKL	A	12/04/	103	1520	15	Ranunculaceae	Ficaria	Ficaria verna		NA	NA	Diptera			Diptera sp.			NA	1		
ALXKL	A	12/04/	103	1520	15	Berberidaceae	Mahonia	Mahonia aquifolium		NA	NA	Diptera	Syrphidae		Syrphidae sp.			NA	1		
ALXKL	A	12/04/	103	1520	15	Rosaceae	Malus	Malus domestica		NA	NA	Hymenoptera	Apidae	Apis	Apis mellifera	W		NA	3		
ALXKL	A	12/04/	103	1520	15	Boraginaceae	Pulmonaria	Pulmonaria officinalis		NA	NA	Hymenoptera	Apidae	Bombus	Bombus pascuorum	W		NA	1		
ALXKL	A	12/04/	103	1520	15	Asparagaceae	Scilla	Scilla bifolia		NA	NA				0			NA	0		
ALXKL	A	12/04/	103	1520	15	Asteraceae	Taraxacum	Taraxacum officinale		NA	NA				0			NA	0		
ALXKL	A	12/04/	103	1520	15	Plantaginaceae	Veronica	Veronica persica		NA	NA				0			NA	0		
ALXKL	A	12/04/	103	1620	15	Boraginaceae	Pulmonaria	Pulmonaria officinalis		NA	NA	Hymenoptera	Apidae	Anthophora	Anthophora plumipes	F		NA	1		
ALXKL	A	05/04/	96	1620	15	Lamiaceae	Ajuga	Ajuga reptans		NA	NA	Hymenoptera	Apidae	Anthophora	Anthopora plumipes	F		NA	3		
ALXKL	A	05/04/	96	1620	15	Lamiaceae	Ajuga	Ajuga reptans		NA	NA	Hymenoptera	Apidae	Anthophora	Anthopora plumipes	M		NA	1		
ALXKL	A	05/04/	96	1620	15	Asteraceae	Bellis	Bellis perennis		NA	NA				0			NA	0		
ALXKL	A	05/04/	96	1620	15	Berberidaceae	Berberis	Berberis aquifolium	synonym Mahonia aquifolium	NA	NA	Hymenoptera	Apidae	Apis	Apis mellifera	W		NA	1		
ALXKL	A	05/04/	96	1620	15	Boraginaceae	Brunnera	Brunnera macrophylla		NA	NA	Diptera	Syrphidae		Syrphidae sp. 3			NA	1		
ALXKL	A	05/04/	96	1620	15	Brassicaceae	Cardamine	Cardamine pratensis		NA	NA				0			NA	0		
ALXKL	A	05/04/	96	1620	15	Iridaceae	Crocus	Crocus vernus		NA	NA	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.	W	Bombus terrestris	NA	2		
ALXKL	A	05/04/	96	1620	15	Ranunculaceae	Ficaria	Ficaria verna		NA	NA				0			NA	0		
ALXKL	A	05/04/	96	1620	15	Rosaceae	Fragaria	Fragaria vesca		NA	NA				0			NA	0		
ALXKL	A	05/04/	96	1620	15	Liliaceae	Gagea	Gagea lutea		NA	NA				0			NA	0		
ALXKL	A	05/04/	96	1620	15	Brassicaceae	Lunaria	Lunaria annua		NA	NA	Hymenoptera	Andrenidae	Andrena	Andrena bicolor	M		NA	1		
ALXKL	A	05/04/	96	1620	15	Amaryllidaceae	Narcissus	Narcissus pseudonarcissus		NA	NA				0			NA	0		
ALXKL	A	05/04/	96	1620	15	Lamiaceae	Rosmarinus	Rosmarinus officinalis	synonym Salvia rosmarinus	NA	NA	Hymenoptera	Megachilidae	Osmia	Osmia bicornis	M		NA	1		
ALXKL	A	05/04/	96	1620	15	Asparagaceae	Scilla	Scilla bifolia		NA	NA	Hymenoptera	Apidae	Apis	Apis mellifera	W		NA	3		
ALXKL	A	05/04/	96	1620	15	Asparagaceae	Scilla	Scilla bifolia		NA	NA	Hymenoptera	Bombyliidae		Bombyliidae sp.			NA	3		
ALXKL	A	05/04/	96	1620	15	Liliaceae	Tulipa	Tulipa gesneriana		NA	NA				0			NA	0		
ALXKL	A	05/04/	96	1620	15	Plantaginaceae	Veronica	Veronica arvensis		NA	NA	Diptera			Diptera sp. 1			NA	1		
ALXKL	A	05/04/	96	1620	15	Plantaginaceae	Veronica	Veronica persica		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Lamiaceae	Ajuga	Ajuga reptans		NA	NA	Hymenoptera	Apidae	Anthophora	Anthophora plumipes	F		NA	4		
ALXKL	A	03/04/	94	1547	15	Lamiaceae	Ajuga	Ajuga reptans		NA	NA	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.	W	Bombus terrestris	NA	1		
ALXKL	A	03/04/	94	1547	15	Lamiaceae	Ajuga	Ajuga reptans		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Brassicaceae	Aubrieta	Aubrieta × cultorum	unresolved species name	NA	NA	Hymenoptera	Bombyliidae	Bombylius	Bombylius major			NA	2		
ALXKL	A	03/04/	94	1547	15	Boraginaceae	Brunnera	Brunnera macrophylla		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Brassicaceae	Cardamine	Cardamine pratensis		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Euphorbiaceae	Euphorbia	Euphorbia cyparissias		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Brassicaceae	Lunaria	Lunaria annua		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Asparagaceae	Muscari	Muscari neglectum		NA	NA	Hymenoptera	Bombyliidae	Bombylius	Bombylius major			NA	2		
ALXKL	A	03/04/	94	1547	15	Asparagaceae	Muscari	Muscari neglectum 		NA	NA	Hymenoptera	Apidae	Anthophora	Anthophora plumipes	F		NA	1		
ALXKL	A	03/04/	94	1547	15	Amaryllidaceae	Narcissus	Narcissus var.		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Rosaceae	Potentilla	Potentilla erecta		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Lamiaceae	Rosmarinus	Rosmarinus officinalis		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Liliaceae	Tulipa	Tulipa gesneriana		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Liliaceae	Tulipa	Tulipa sylvestris		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Apocynaceae	Vinca	Vinca major		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Violaceae	Viola	Viola reichenbachiana		NA	NA				0			NA	0		
ALXKL	A	03/04/	94	1547	15	Violaceae	Viola	Viola tricolor		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1505	15	Lamiaceae	Glechoma	Glechoma hederacea		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1505	15	Lamiaceae	Lamium	Lamium purpureum		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1505	15	Brassicaceae	Lunaria	Lunaria annua		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1505	15	Asteraceae	Taraxacum	Taraxacum officinale		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Asteraceae	Bellis	Bellis perennis		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Berberidaceae	Berberis	Berberis aquifolium	synonym Mahonia aquifolium	NA	NA	Hymenoptera	Apidae	Apis	Apis mellifera	W		NA	2		
ALXKL	A	02/04/	93	1630	15	Boraginaceae	Brunnera	Brunnera macrophyla		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Ranunculaceae	Ficaria	Ficaria verna		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Asparagaceae	Hyacinthus	Hyacinthus var.		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Asparagaceae	Muscari	Muscari neglectum		NA	NA	Hymenoptera	Megachilidae	Osmia	Osmia cornuta	W		NA	4		
ALXKL	A	02/04/	93	1630	15	Asparagaceae	Muscari	Muscari neglectum		NA	NA	Hymenoptera	Megachilidae	Osmia	Osmia bicornis	M		NA	1		
ALXKL	A	02/04/	93	1630	15	Asparagaceae	Muscari	Muscari neglectum		NA	NA	Hymenoptera	Apidae	Apis	Apis mellifera	W		NA	2		
ALXKL	A	02/04/	93	1630	15	Amaryllidaceae	Narcissus	Narcissus var.		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Primulaceae	Primula	Primula sieboldii		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Primulaceae	Primula	Primula veris		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Boraginaceae	Pulmonaria	Pulmonaria officinalis		NA	NA	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.	W	Bombus terrestris	NA	2		
ALXKL	A	02/04/	93	1630	15	Boraginaceae	Pulmonaria	Pulmonaria officinalis		NA	NA	Hymenoptera	Apidae	Anthophora	Anthophora plumipes	F		NA	2		
ALXKL	A	02/04/	93	1630	15	Asparagaceae	Scilla	Scilla bifolia		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Liliaceae	Tulipa	Tulipa sylvestris		NA	NA	Hymenoptera	Apidae	Apis	Apis mellifera	W		NA	1		
ALXKL	A	02/04/	93	1630	15	Apocynaceae	Vinca	Vinca major		NA	NA				0			NA	0		
ALXKL	A	02/04/	93	1630	15	Violaceae	Viola	Viola riviniana		NA	NA				0			NA	0		
AMGBB	A	26/04/	117	1005	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	13350				0			NA	NA		
AMGBB	A	25/04/	116	840	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	13350				0			NA	NA		
AMGBB	A	23/04/	114	1014	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	13350				0			NA	NA		
AMGBB	A	16/04/	107	1745	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000	Chiroptera	Pteropodidae	Pteropus	Pteropus poliocephalus		Observed with binoculars	1	>100		
AMGBB	A	16/04/	107	1745	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	5				0			NA	NA		
AMGBB	A	16/04/	107	1745	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	1				0			NA	NA		
AMGBB	A	16/04/	107	1745	10	Fabaceae	Trifolium	Trifolium repens		0.25	1				0			NA	NA		
AMGBB	A	15/04/	106	815	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000				0			NA	NA		
AMGBB	A	15/04/	106	815	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	8				0			NA	NA		
AMGBB	A	15/04/	106	815	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	1				0			NA	NA		
AMGBB	A	15/04/	106	815	10	Fabaceae	Trifolium	Trifolium repens		0.25	2				0			NA	NA		
AMGBB	A	12/04/	103	1000	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000	Passeriformes	Meliphagidae	Anthochaera	Anthochaera chrysoptera		Observed with binoculars	1	>100		
AMGBB	A	12/04/	103	1000	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	10				0			NA	NA		
AMGBB	A	12/04/	103	1000	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	2				0			NA	NA		
AMGBB	A	08/04/	99	1030	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000				0			NA	NA		
AMGBB	A	08/04/	99	1030	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	8				0			NA	NA		
AMGBB	A	08/04/	99	1030	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	2	Hymenoptera	Apidae	Apis	Apis mellifera			1	NA		
AMGBB	A	07/04/	98	944	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000				0			NA	NA		
AMGBB	A	07/04/	98	944	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	16				0			NA	NA		
AMGBB	A	07/04/	98	944	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	3				0			NA	NA		
AMGBB	A	04/04/	95	800	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000	Psittaciformes	Psittaculidae	Trichoglossus	Trichoglossus haematodus			2	>100		
AMGBB	A	04/04/	95	800	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000	Passeriformes	Meliphagidae	Anthochaera	Anthochaera chrysoptera			1	5		
AMGBB	A	04/04/	95	800	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	13				0			NA	NA		
AMGBB	A	04/04/	95	800	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	5				0			NA	NA		
AMGBB	A	02/04/	93	1835	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000	Chiroptera	Pteropodidae	Pteropus	Pteropus poliocephalus			1	>100		
AMGBB	A	02/04/	93	1835	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	18				0			NA	NA		
AMGBB	A	02/04/	93	1835	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	6				0			NA	NA		
AMGBB	A	01/04/	92	1115	10	Myrtaceae	Eucalyptus	Eucalyptus sp.		150	75000	Psittaciformes	Psittaculidae	Trichoglossus	Trichoglossus haematodus			3	>100		
AMGBB	A	01/04/	92	1115	10	Proteaceae	Grevillea	Grevillea sp.	Grevillea hybrid cross	0.25	18	Hymenoptera	Apidae	Apis	Apis mellifera			1	2		
AMGBB	A	01/04/	92	1115	10	Asteraceae	Taraxacum	Taraxacum officinale		0.5	6				0			NA	NA		
ANYGG	A	30/06/	182	1210	10	Rutaceae	Choisya	Choisya ternata		2.8	5				0			NA	NA		
ANYGG	A	30/06/	182	1210	10	Asteraceae	Crepis	Crepis sp.		0.48	20	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris/lucorum complex	1	4		
ANYGG	A	30/06/	182	1210	10	Asteraceae	Crepis	Crepis sp.		0.48	20	Hymenoptera	Andrenidae	Andrena	Andrena sp.			1	4	Yes	
ANYGG	A	30/06/	182	1210	10	Papaveraceae	Papaver	Papaver rhoeas 		1	37				0			NA	NA		
ANYGG	A	30/06/	182	1210	10	Fabaceae	Trifolium	Trifolium repens		0.3	10	Hymenoptera	Apidae	Bombus	Bombus pascuorum			1	2		
ANYGG	A	28/06/	180	805	10	Rutaceae	Choisya	Choisya ternata		2.8	5				0			NA	NA		
ANYGG	A	28/06/	180	805	10	Papaveraceae	Papaver	Papaver rhoeas 		1	30	Diptera	Syrphidae	Eristalis	Eristalis sp.			3	1		
ANYGG	A	28/06/	180	805	10	Papaveraceae	Papaver	Papaver rhoeas 		1	30	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris/lucorum complex	6	2		
ANYGG	A	25/06/	177	950	10	Rutaceae	Choisya	Choisya ternata		2.8	10				0			NA	NA		
ANYGG	A	25/06/	177	950	10	Papaveraceae	Papaver	Papaver rhoeas 		1	60	Diptera	Syrphidae	Eristalis	Eristalis sp.			3	1		
ANYGG	A	24/06/	176	744	10	Rutaceae	Choisya	Choisya ternata		2.8	15				0			NA	NA		
ANYGG	A	24/06/	176	744	10	Papaveraceae	Papaver	Papaver rhoeas 		1	52	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris/lucorum complex	24	5		
ANYGG	A	24/06/	176	744	10	Papaveraceae	Papaver	Papaver rhoeas 		1	52	Diptera	Syrphidae	Eristalis	Eristalis sp.			12	1		
ANYGG	A	22/06/	174	1100	10	Rutaceae	Choisya	Choisya ternata		2.8	20				0			NA	NA		
ANYGG	A	22/06/	174	1100	10	Papaveraceae	Papaver	Papaver rhoeas 		1	35	Diptera	Syrphidae	Eristalis	Eristalis sp.			3	1		
ANYGG	A	21/06/	173	1035	10	Rutaceae	Choisya	Choisya ternata		2.8	20				0			NA	NA		
ANYGG	A	21/06/	173	1035	10	Papaveraceae	Papaver	Papaver rhoeas 		1	60	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris/lucorum complex	9	4		
ANYGG	A	21/06/	173	1035	10	Papaveraceae	Papaver	Papaver rhoeas 		1	60	Diptera	Syrphidae	Eristalis	Eristalis sp.			10	1		
ANYGG	A	17/06/	169	910	10	Rutaceae	Choisya	Choisya ternata		2.8	20	Diptera	Syrphidae	Eristalis	Eristalis sp.			1	1		
ANYGG	A	17/06/	169	910	10	Papaveraceae	Papaver	Papaver rhoeas 		1	35	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris/lucorum complex	9	4		
ANYGG	A	17/06/	169	910	10	Papaveraceae	Papaver	Papaver rhoeas 		1	35	Diptera	Syrphidae	Eristalis	Eristalis sp.			3	1		
ANYGG	A	15/06/	167	930	10	Rutaceae	Choisya	Choisya ternata		2.8	25				0			NA	NA		
ANYGG	A	15/06/	167	930	10	Papaveraceae	Papaver	Papaver rhoeas 		1	16	Hymenoptera	Apidae	Bombus	Bombus terrestris/lucorum agg.		Bombus terrestris/lucorum complex	7	4		
